Title,Author,Narrator,Length,Release Date,Language
A Court of Wings and Ruin,"By:
                                    Sarah J. Maas","Narrated by:
                                      Amanda Leigh Cobb",25 hrs and 9 mins,"Release date:
                                    05-02-17","Language:
                                      English"
Fourth Wing (Part 2 of 2) (Dramatized Adaptation),"By:
                                    Rebecca Yarros","Narrated by:
                                      full cast, Robb Moreira, Megan Poppy, James Konicek, Khaya Fraites, Gabriel Michael, LaMont Ridgell, Taylor Coan, Torian Brackett, Rob McFadyen, Laura C. Harris, Jessica Lauren Ball",9 hrs and 22 mins,"Release date:
                                    02-09-24","Language:
                                      English"
River Marked (Dramatized Adaptation),"By:
                                    Patricia Briggs","Narrated by:
                                      full cast",8 hrs,"Release date:
                                    05-30-25","Language:
                                      English"
The Lifetree,"By:
                                    Hans Ohlsen, Micky Carre","Narrated by:
                                      Jim Swanson, Barbie Jean Warmack",17 hrs and 13 mins,"Release date:
                                    04-30-25","Language:
                                      English"
"Conscript, Part 2","By:
                                    Scott Bartlett","Narrated by:
                                      Mark Boyett",15 hrs and 6 mins,"Release date:
                                    04-29-25","Language:
                                      English"
Star Wars: The Mask of Fear (Reign of the Empire),"By:
                                    Alexander Freed","Narrated by:
                                      January LaVoy",16 hrs and 51 mins,"Release date:
                                    02-25-25","Language:
                                      English"
Fourth Wing (Part 1 of 2) (Dramatized Adaptation),"By:
                                    Rebecca Yarros","Narrated by:
                                      full cast, Scott McCormick, Troy Allan, Jessica Lauren Ball, Khaya Fraites, Gabriel Michael, Torian Brackett, Taylor Coan, LaMont Ridgell, Robb Moreira, Laura C. Harris, David Cui Cui",7 hrs and 52 mins,"Release date:
                                    12-27-23","Language:
                                      English"
Metal Slinger,"By:
                                    Rachel Schneider","Narrated by:
                                      Andi Eloise",13 hrs and 29 mins,"Release date:
                                    06-17-25","Language:
                                      English"
Battle Through the Nine Realms 2,"By:
                                    Shawn Wilson","Narrated by:
                                      Christian J. Gilliland, Erin Bateman",14 hrs and 16 mins,"Release date:
                                    04-28-25","Language:
                                      English"
Words That Hurt You: Mission 14,"By:
                                    J.S. Morin","Narrated by:
                                      Mikael Naramore",4 hrs and 22 mins,"Release date:
                                    05-06-25","Language:
                                      English"
Iron Flame (Part 2 of 2) (Dramatized Adaptation),"By:
                                    Rebecca Yarros","Narrated by:
                                      Laura C. Harris, Khaya Fraites, Taylor Coan, K’Lai Rivera, Robb Moreira, Torian Brackett, Gabriel Michael, Marni Penning, Megan Poppy, LaMont Ridgell, Danny Gavigan, full cast",9 hrs and 27 mins,"Release date:
                                    07-12-24","Language:
                                      English"
Wild Scottish Gold,"By:
                                    Tricia O'Malley","Narrated by:
                                      Amy Landon, Will Watt",Not Yet Known,"Release date:
                                    05-20-25","Language:
                                      English"
Syl: Osmosis,"By:
                                    Lunadea","Narrated by:
                                      Ellory Lane, Matt Hicks",16 hrs,"Release date:
                                    04-24-25","Language:
                                      English"
Iron Flame (Part 1 of 2) (Dramatized Adaptation),"By:
                                    Rebecca Yarros","Narrated by:
                                      full cast, Gabriel Michael, Torian Brackett, LaMont Ridgell, Taylor Coan, Jessica Lauren Ball, Chris Davenport, Henry W. Kramer, Danny Gavigan, Robb Moreira, Khaya Fraites, Amanda Forstrom",11 hrs and 38 mins,"Release date:
                                    05-17-24","Language:
                                      English"
Crown of Midnight,"By:
                                    Sarah J. Maas","Narrated by:
                                      Elizabeth Evans",12 hrs and 43 mins,"Release date:
                                    01-28-21","Language:
                                      English"
For Whom the Belle Tolls,"By:
                                    Jaysea Lynn","Narrated by:
                                      Elena Wolfe, Sean Masters",23 hrs and 38 mins,"Release date:
                                    04-01-25","Language:
                                      English"
Kane Unchained,"By:
                                    Dick Wybrow","Narrated by:
                                      Tim Campbell, Maria McCann",10 hrs and 49 mins,"Release date:
                                    05-06-25","Language:
                                      English"
Prepper Nation: Ignorance Is Strength,"By:
                                    Tom Abrahams","Narrated by:
                                      Kevin Pierce",8 hrs and 41 mins,"Release date:
                                    04-18-25","Language:
                                      English"
The Devils,"By:
                                    Joe Abercrombie","Narrated by:
                                      Steven Pacey",25 hrs and 7 mins,"Release date:
                                    05-06-25","Language:
                                      English"
Dune,"By:
                                    Frank Herbert","Narrated by:
                                      Scott Brick, Orlagh Cassidy, Euan Morton, Simon Vance, Ilyana Kadushin, Byron Jennings, David R. Gordon, Jason Culp, Kent Broadhurst, Oliver Wyman, Patricia Kilgarriff, Scott Sowers",21 hrs and 2 mins,"Release date:
                                    12-31-06","Language:
                                      English"
The Scarlet Wolf: A Blood Magic Lycanthrope LitRPG,"By:
                                    Shane Purdy","Narrated by:
                                      Hannah Schooner, Giancarlo Herrera",17 hrs and 47 mins,"Release date:
                                    04-07-25","Language:
                                      English"
Batman: Revolution,"By:
                                    John Jackson Miller","Narrated by:
                                      Will Damron",15 hrs,"Release date:
                                    10-21-25","Language:
                                      English"
My Best Friend Is an Eldritch Horror: Books 1-6,"By:
                                    Actus","Narrated by:
                                      Peter Berkrot",70 hrs and 48 mins,"Release date:
                                    08-27-24","Language:
                                      English"
Chilling Reflections,"By:
                                    Drew Hayes","Narrated by:
                                      Amy Landon",34 hrs,"Release date:
                                    06-24-25","Language:
                                      English"
Sugar Shack Witch Mysteries Boxed Set,"By:
                                    Danielle Garrett","Narrated by:
                                      Amanda Ronconi",21 hrs and 50 mins,"Release date:
                                    10-29-24","Language:
                                      English"
Emerita Divided,"By:
                                    Daniel Schinhofen","Narrated by:
                                      Andrea Parsneau",10 hrs and 23 mins,"Release date:
                                    04-18-25","Language:
                                      English"
Quicksilver,"By:
                                    Callie Hart","Narrated by:
                                      Stella Bloom, Anthony Palmini",20 hrs and 41 mins,"Release date:
                                    10-29-24","Language:
                                      English"
Fae and Fare,"By:
                                    pirateaba","Narrated by:
                                      Andrea Parsneau",61 hrs and 4 mins,"Release date:
                                    07-14-20","Language:
                                      English"
"How I Built a Magic Empire, Book 1","By:
                                    Konstantin Zubov, Ben Hooson - translator","Narrated by:
                                      Hannibal Hills",12 hrs and 8 mins,"Release date:
                                    04-29-25","Language:
                                      English"
Brigands & Breadknives,"By:
                                    Travis Baldree","Narrated by:
                                      Travis Baldree",11 hrs and 18 mins,"Release date:
                                    11-11-25","Language:
                                      English"
The Runic Artist,"By:
                                    Ellake","Narrated by:
                                      Adam Stubbs, Mia Fothergill",16 hrs and 4 mins,"Release date:
                                    08-30-24","Language:
                                      English"
A Clash of Kings,"By:
                                    George R.R. Martin","Narrated by:
                                      Roy Dotrice",37 hrs and 12 mins,"Release date:
                                    12-28-03","Language:
                                      English"
This Inevitable Ruin,"By:
                                    Matt Dinniman","Narrated by:
                                      Jeff Hays, Travis Baldree",28 hrs and 40 mins,"Release date:
                                    02-11-25","Language:
                                      English"
The Hobbit,"By:
                                    J. R. R. Tolkien","Narrated by:
                                      Andy Serkis",10 hrs and 25 mins,"Release date:
                                    09-21-20","Language:
                                      English"
A Court of Wings and Ruin (1 of 3) [Dramatized Adaptation],"By:
                                    Sarah J. Maas","Narrated by:
                                      Amanda Forstrom, Nora Achrati, Anthony Palmini, Henry W. Kramer, Natalie Van Sistine, Megan Dominy, Gabriel Michael, Melody Muze, Jon Vertullo, Shawn Jain, Stephanie Németh-Parker",6 hrs and 11 mins,"Release date:
                                    08-15-22","Language:
                                      English"
Rhino: The Rise of a Warrior,"By:
                                    Nicholas Sansbury Smith","Narrated by:
                                      Ray Porter",12 hrs and 57 mins,"Release date:
                                    04-01-25","Language:
                                      English"
Rising Reign,"By:
                                    Tessa Hale","Narrated by:
                                      Vanessa Moyen, Connor Crais, Jason Clarke, JF Harding, Shane East, Teddy Hamilton",2 mins,"Release date:
                                    09-24-25","Language:
                                      English"
The Will of the Many,"By:
                                    James Islington","Narrated by:
                                      Euan Morton",28 hrs and 14 mins,"Release date:
                                    05-23-23","Language:
                                      English"
Last Witch Attempt,"By:
                                    Amanda M. Lee","Narrated by:
                                      Hollis McCarthy",9 hrs and 39 mins,"Release date:
                                    04-24-25","Language:
                                      English"
Elliot,"By:
                                    Terry Schott","Narrated by:
                                      Roger Wayne",10 hrs and 5 mins,"Release date:
                                    05-06-25","Language:
                                      English"
Project Hail Mary,"By:
                                    Andy Weir","Narrated by:
                                      Ray Porter",16 hrs and 10 mins,"Release date:
                                    05-04-21","Language:
                                      English"
A Court of Mist and Fury (Part 2 of 2) (Dramatized Adaptation),"By:
                                    Sarah J. Maas","Narrated by:
                                      Amanda Forstrom, Dawn Ursula, Nora Achrati, Darius Johnson, Anthony Palmini, Henry W. Kramer, Natalie Van Sistine, Gabriel Michael, Melody Muze, Jon Vertullo, Mike Carnes",8 hrs and 23 mins,"Release date:
                                    07-01-22","Language:
                                      English"
The Fellowship of the Ring,"By:
                                    J. R. R. Tolkien","Narrated by:
                                      Andy Serkis",22 hrs and 38 mins,"Release date:
                                    09-16-21","Language:
                                      English"
The Ashes and the Star-Cursed King,"By:
                                    Carissa Broadbent","Narrated by:
                                      Amanda Leigh Cobb, Aiden Snow",19 hrs and 27 mins,"Release date:
                                    10-24-23","Language:
                                      English"
Apocalypse Healer: A LitRPG Adventure,"By:
                                    HideousGrain","Narrated by:
                                      Peter Berkrot",14 hrs and 48 mins,"Release date:
                                    04-15-25","Language:
                                      English"
Age of Conquest,"By:
                                    Jez Cajiao","Narrated by:
                                      Neil Hellegers",30 hrs,"Release date:
                                    05-27-25","Language:
                                      English"
Empire of the Dawn,"By:
                                    Jay Kristoff","Narrated by:
                                      Damian Lynch, Shakira Shute",14 hrs and 24 mins,"Release date:
                                    11-04-25","Language:
                                      English"
The Malevolent Eight,"By:
                                    Sebastien de Castell","Narrated by:
                                      Joe Jameson",12 hrs and 54 mins,"Release date:
                                    05-22-25","Language:
                                      English"
Dark Age,"By:
                                    Pierce Brown","Narrated by:
                                      Tim Gerard Reynolds, John Curless, Moira Quirk, James Langton, Rendah Heywood",33 hrs and 58 mins,"Release date:
                                    07-31-19","Language:
                                      English"
A Court of Mist and Fury (Part 1 of 2) (Dramatized Adaptation),"By:
                                    Sarah J. Maas","Narrated by:
                                      Amanda Forstrom, Holly Adams, Nora Achrati, Anthony Palmini, Henry W. Kramer, Natalie Van Sistine, Megan Dominy, Gabriel Michael, Melody Muze, Shawn K. Jain, Jon Vertullo",8 hrs and 26 mins,"Release date:
                                    06-01-22","Language:
                                      English"
A Court of Thorns and Roses,"By:
                                    Sarah J. Maas","Narrated by:
                                      Jennifer Ikeda",16 hrs and 7 mins,"Release date:
                                    05-05-15","Language:
                                      English"
A Court of Silver Flames,"By:
                                    Sarah J. Maas","Narrated by:
                                      Stina Nielsen",26 hrs and 5 mins,"Release date:
                                    02-16-21","Language:
                                      English"
Lucius: The Faultless Blade,"By:
                                    Ian St. Martin","Narrated by:
                                      John Banks",8 hrs and 52 mins,"Release date:
                                    04-26-25","Language:
                                      English"
Beneath the Cursed Veil,"By:
                                    Aurelia Jane, Kel Carpenter","Narrated by:
                                      Scott Rose, Savannah Gilmore",7 hrs and 40 mins,"Release date:
                                    04-25-25","Language:
                                      English"
The Lost Reclaimed,"By:
                                    Tom Elliot","Narrated by:
                                      Andrew Tell",22 hrs and 6 mins,"Release date:
                                    04-09-25","Language:
                                      English"
Stormwolf Summer,"By:
                                    Zoe Chant, Helen Kestrel","Narrated by:
                                      Mackenzie Cartwright, John Hartley",12 hrs and 48 mins,"Release date:
                                    05-20-25","Language:
                                      English"
1% Lifesteal,"By:
                                    Robert Blaise","Narrated by:
                                      Daniel Wisniewski",16 hrs and 36 mins,"Release date:
                                    03-18-25","Language:
                                      English"
Red Rising,"By:
                                    Pierce Brown","Narrated by:
                                      Tim Gerard Reynolds",16 hrs and 12 mins,"Release date:
                                    01-28-14","Language:
                                      English"
The Wandering Inn,"By:
                                    pirateaba","Narrated by:
                                      Andrea Parsneau",48 hrs and 7 mins,"Release date:
                                    09-10-19","Language:
                                      English"
The Well of Ascension,"By:
                                    Brandon Sanderson","Narrated by:
                                      Michael Kramer",28 hrs and 56 mins,"Release date:
                                    12-28-08","Language:
                                      English"
Demon World Boba Shop 2,"By:
                                    R. C. Joshua","Narrated by:
                                      Marlon Dance-Hooi",12 hrs and 48 mins,"Release date:
                                    05-06-25","Language:
                                      English"
Shadow's Heart,"By:
                                    Kresley Cole","Narrated by:
                                      Robert Petkoff",12 hrs and 26 mins,"Release date:
                                    04-02-25","Language:
                                      English"
School of Magic 3,"By:
                                    Dante King","Narrated by:
                                      Robin Shay, Patrick Dubois",11 hrs and 15 mins,"Release date:
                                    04-29-25","Language:
                                      English"
Bury Our Bones in the Midnight Soil,"By:
                                    V. E. Schwab","Narrated by:
                                      Julia Whelan, Katie Leung, Marisa Calin",18 hrs and 26 mins,"Release date:
                                    06-10-25","Language:
                                      English"
You Can't Stay,"By:
                                    S. T. Ashman","Narrated by:
                                      Tiffany Bache, Neill Thorne",8 hrs and 50 mins,"Release date:
                                    05-01-25","Language:
                                      English"
A Letter from the Lonesome Shore,"By:
                                    Sylvie Cathrall","Narrated by:
                                      Claire Morgan, Joshua Riley, Justin Avoth, Kit Griffiths, Zara Ramm",14 hrs and 26 mins,"Release date:
                                    05-06-25","Language:
                                      English"
The Silmarillion,"By:
                                    J. R. R. Tolkien, Christopher Tolkien","Narrated by:
                                      Andy Serkis",19 hrs and 24 mins,"Release date:
                                    06-22-23","Language:
                                      English"
A Kingdom of Flesh and Fire,"By:
                                    Jennifer L. Armentrout","Narrated by:
                                      Stina Nielsen",24 hrs and 21 mins,"Release date:
                                    11-03-20","Language:
                                      English"
"Haumeah, Volume 4 (Demeter)","By:
                                    Alan D. Hansen","Narrated by:
                                      Matthew David Hopkins",7 hrs and 49 mins,"Release date:
                                    07-31-24","Language:
                                      English"
Oberon’s Bathtime Stories,"By:
                                    Kevin Hearne","Narrated by:
                                      Luke Daniels",4 hrs and 29 mins,"Release date:
                                    04-10-25","Language:
                                      English"
The Law of Power,"By:
                                    Alexey Osadchuk, Zachary J. Lorang - translator","Narrated by:
                                      Ryan Burke",9 hrs and 41 mins,"Release date:
                                    04-22-25","Language:
                                      English"
Death at a Highland Wedding,"By:
                                    Kelley Armstrong","Narrated by:
                                      Kate Handford",14 hrs and 27 mins,"Release date:
                                    05-20-25","Language:
                                      English"
The Dark Tower I,"By:
                                    Stephen King","Narrated by:
                                      George Guidall",7 hrs and 20 mins,"Release date:
                                    01-01-16","Language:
                                      English"
